"","state","year","x.rfbmi5","High.2018"
"393","Ohio",2016,0.66256914839815,8.45
"394","Oklahoma",2016,0.687607740405124,7.56
"395","Oregon",2016,0.626201113242781,10.17
"396","Pennsylvania",2016,0.654274732398735,7.56
"397","Rhode Island",2016,0.637137998118116,10.02
"398","South Carolina",2016,0.674075529592213,7.56
"399","South Dakota",2016,0.668874213872561,8.92
"400","Tennessee",2016,0.686055119321779,7.56
"401","Texas",2016,0.684114234182283,7.56
"402","Utah",2016,0.60374049608104,7.56
"403","Vermont",2016,0.617462702662274,10.02
"404","Virginia",2016,0.654527403578278,7.56
"405","Washington",2016,0.634566609918193,9.88
"406","West Virginia",2016,0.709457258277722,9.13
"407","Wisconsin",2016,0.662445023307808,7.56
"408","Wyoming",2016,0.64245264469265,7.56
"409","Alabama",2017,NA,7.41
"410","Alaska",2017,NA,10.01
"411","Arizona",2017,NA,10.22
"412","Arkansas",2017,NA,8.68
"413","California",2017,NA,10.22
"414","Colorado",2017,NA,9.5
"415","Connecticut",2017,NA,10.32
"416","Delaware",2017,0.684709079,8.43
"417","District of Columbia",2017,0.540388396,11.75
"418","Florida",2017,0.640579588,8.27
"419","Georgia",2017,0.652743458,7.41
"420","Hawaii",2017,0.588023623,9.45
"421","Idaho",2017,0.658745159,7.41
"422","Illinois",2017,0.658395256,8.43
"423","Indiana",2017,0.67974913,7.41
"424","Iowa",2017,0.70111844,7.41
"425","Kansas",2017,0.671956163,7.41
"426","Kentucky",2017,0.677823456,7.41
"427","Louisiana",2017,0.699806517,7.41
"428","Maine",2017,0.650625191,9.19
"429","Maryland",2017,0.662011542,8.94
"430","Massachusetts",2017,0.614103455,11.24
"431","Michigan",2017,0.67176617,9.09
"432","Minnesota",2017,0.649373682,9.7
"433","Mississippi",2017,0.698947015,7.41
"434","Missouri",2017,0.678154534,7.87
"435","Montana",2017,0.622254889,8.33
"436","Nebraska",2017,0.690031814,9.19
"437","Nevada",2017,0.656732909,8.43
"438","New Hampshire",2017,0.648801012,7.41
"439","New Jersey",2017,0.625634473,8.62
"440","New Mexico",2017,0.652079492,7.66
"441","New York",2017,0.612884429,9.91
"442","North Carolina",2017,0.669286489,7.41
"443","North Dakota",2017,0.693606234,7.41
"444","Ohio",2017,0.679802423,8.33
"445","Oklahoma",2017,0.706012708,7.41
"446","Oregon",2017,0.645021117,9.96
"447","Pennsylvania",2017,0.670993205,7.41
"448","Rhode Island",2017,0.648592923,9.81
"449","South Carolina",2017,0.680987953,7.41
"450","South Dakota",2017,0.677389431,8.84
"451","Tennessee",2017,0.682708459,7.41
"452","Texas",2017,0.694429469,7.41
"453","Utah",2017,0.605810249,7.41
"454","Vermont",2017,0.626442735,10.22
"455","Virginia",2017,0.663165637,7.41
"456","Washington",2017,0.621754743,11.24
"457","West Virginia",2017,0.716636943,8.94
"458","Wisconsin",2017,0.67304495,7.41
"459","Wyoming",2017,0.646888616,7.41
