"","state","year","at_least_hs_grad","High.2018"
"292","Oklahoma",2014,86.7,7.67
"293","Oregon",2014,89.5,9.63
"294","Pennsylvania",2014,89,7.67
"295","Rhode Island",2014,85.4,8.46
"296","South Carolina",2014,85,7.67
"297","South Dakota",2014,90.7,7.67
"298","Tennessee",2014,84.9,7.67
"299","Texas",2014,81.6,7.67
"300","Utah",2014,91,7.67
"301","Vermont",2014,91.6,9.23
"302","Virginia",2014,87.9,7.67
"303","Washington",2014,90.2,9.86
"304","West Virginia",2014,84.4,7.67
"305","Wisconsin",2014,90.8,7.67
"306","Wyoming",2014,92.3,7.67
"307","Alabama",2015,84.3,7.66
"308","Alaska",2015,92.1,9.24
"309","Arizona",2015,86,8.5
"310","Arkansas",2015,84.8,7.92
"311","California",2015,81.8,9.51
"312","Colorado",2015,90.7,8.69
"313","Connecticut",2015,89.9,9.67
"314","Delaware",2015,88.4,8.72
"315","District of Columbia",2015,89.3,11.09
"316","Florida",2015,86.9,8.5
"317","Georgia",2015,85.4,7.66
"318","Hawaii",2015,91,8.19
"319","Idaho",2015,89.5,7.66
"320","Illinois",2015,87.9,8.72
"321","Indiana",2015,87.8,7.66
"322","Iowa",2015,91.5,7.66
"323","Kansas",2015,90.2,7.66
"324","Kentucky",2015,84.2,7.66
"325","Louisiana",2015,83.4,7.66
"326","Maine",2015,91.6,7.92
"327","Maryland",2015,89.4,8.72
"328","Massachusetts",2015,89.8,9.51
"329","Michigan",2015,89.6,8.61
"330","Minnesota",2015,92.4,9.51
"331","Mississippi",2015,82.3,7.66
"332","Missouri",2015,88.4,8.08
"333","Montana",2015,92.8,8.5
"334","Nebraska",2015,90.7,8.45
"335","Nevada",2015,85.1,8.72
"336","New Hampshire",2015,92.3,7.66
"337","New Jersey",2015,88.6,8.85
"338","New Mexico",2015,84.2,7.92
"339","New York",2015,85.6,9.24
"340","North Carolina",2015,85.8,7.66
"341","North Dakota",2015,91.7,7.66
"342","Ohio",2015,89.1,8.56
"343","Oklahoma",2015,86.9,7.66
"344","Oregon",2015,89.8,9.77
"345","Pennsylvania",2015,89.2,7.66
"346","Rhode Island",2015,86.2,9.51
"347","South Carolina",2015,85.6,7.66
"348","South Dakota",2015,90.9,8.98
"349","Tennessee",2015,85.5,7.66
"350","Texas",2015,81.9,7.66
"351","Utah",2015,91.2,7.66
"352","Vermont",2015,91.8,9.67
"353","Virginia",2015,88.3,7.66
"354","Washington",2015,90.4,10
"355","West Virginia",2015,85,8.45
"356","Wisconsin",2015,91,7.66
"357","Wyoming",2015,92.3,7.66
"358","Alabama",2016,84.8,7.56
"359","Alaska",2016,92.3,10.17
"360","Arizona",2016,86.2,8.4
"361","Arkansas",2016,85.2,8.35
"362","California",2016,82.1,10.43
"363","Colorado",2016,91,8.67
"364","Connecticut",2016,90.1,10.02
"365","Delaware",2016,88.8,8.61
"366","District of Columbia",2016,90,12
"367","Florida",2016,87.2,8.4
"368","Georgia",2016,85.8,7.56
"369","Hawaii",2016,91.3,8.87
"370","Idaho",2016,90,7.56
"371","Illinois",2016,88.3,8.61
"372","Indiana",2016,88.1,7.56
"373","Iowa",2016,91.7,7.56
"374","Kansas",2016,90.3,7.56
"375","Kentucky",2016,84.6,7.56
