State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,,,,
Ohio,34.5,32.5,36.6,39.5,57.9,60.7,67.8,74.5,80.7,99.8,115.9,108.7,111.4,119.5,140.2,154.6,171.7,181.1,195.8,222.8,232.2,221.3,217,201.4,199.9,206.4,234.7,222.5,242.7,247.1,264.7,287,268.2,256.3,245.1,255,218.4,231.2,184.5,148.2,155.3,157.2,148.3,140.8,140.7,141.5,145.9,150.2,145,138.5,135.3,,,,
Oklahoma,36.8,51.5,48.9,59.6,88.2,80.5,84.1,88.9,106.7,116.5,126.7,174,148.1,151.4,163.5,176.5,182.8,205,225.2,260,268.4,267.2,263.2,249.3,248.5,269.6,285.4,264.8,284.4,321.3,370.5,396.7,431.6,455.3,466.8,491.8,436.9,403,396.1,377.5,375.5,383.6,369.2,365.8,363.3,371,364.9,360.8,383.7,364.3,348.1,,,,
Oregon,26,23.9,27.8,34.1,56,59.3,65.2,76.1,100,113.9,131.7,157.7,156.3,159,198.7,269.4,285,286.9,325,366.2,291.4,251.9,260.6,273,287.8,310.1,286.1,292.2,307.2,315.4,311.8,298.2,301.1,317.6,334.4,338.7,297.2,283.7,271,249.3,226.7,191.3,177.4,178.8,183.8,181.9,176.1,181.4,157.9,161.5,153.5,,,,
Pennsylvania,53.6,52.2,53.3,58.7,66.4,75.7,66.6,66.9,77.3,87.1,94.2,106.7,105.8,111.5,131,136.5,132.8,128,139.5,153.6,156.1,156.6,158.7,145,144.5,155,175.8,193.3,193.5,198,222.3,221.1,212.4,205.1,208,206.5,260.5,252.6,223.5,232.5,240.9,234.2,227.6,218.5,228.6,235.4,237.8,226.8,224.8,209.4,205.3,,,,
Rhode Island,19.2,26.9,31.1,35.6,41.6,53.6,62.7,90,81.9,94.5,119.6,128.2,159.1,173.8,180.7,192.4,197.8,201,235,247,268.3,287.6,264,222.8,196.6,200.9,191.9,224,246.9,234,280.4,304.5,265.5,268.1,256.8,245.4,232.4,222.6,207.5,164,166.2,173.4,159,159.3,147.8,146.9,131.5,131.1,139.2,148.6,152,,,,
South Carolina,100.6,96.1,87.2,126.5,121.5,134.9,172,170.7,146,163,193.4,214.5,281.6,278.6,285.9,359.3,450,485.3,489.4,523.8,493,473.5,547.9,467,471.7,486.7,525.2,510.8,564.4,627.8,759.3,731.2,706,773.4,780.4,750.8,766.7,756.9,694.6,651.5,624.5,616.1,627,612.2,610.6,582.9,583.7,593,539.3,506,454.8,,,,
South Dakota,24.8,18.8,20.9,20.6,42.1,41.4,62.9,62,52.4,51.4,60.5,66.9,83.2,85.5,147.8,154,145.9,155.7,134.8,120.3,93.6,73.7,67.7,85,103.8,93.9,86.9,85,71.6,90.5,114.1,122,125.3,145.6,165.5,138.8,116.1,124.4,97.8,105,108.1,93.6,113.2,112.3,110.8,109.3,181.3,168.8,185.8,139,200.1,,,,
Tennessee,50.3,63,56.1,60.7,73.6,91.1,105.2,130.5,129,134.3,168.6,196.8,186.7,187.5,190.4,192.6,209.4,203.9,190.2,203.6,229.4,193.5,200.2,184.6,230.3,242,274.5,286.6,305.1,334.1,419.2,455.6,470.3,485.5,482,490.5,494.3,509.2,482.8,487,495.2,520.7,508.5,487.1,502.5,545.2,534.7,533.4,508.8,473.2,440.7,,,,
Texas,111.5,109.1,105.3,116.7,128.2,138.3,150.4,153.6,162.3,180.9,196.4,216.3,198.2,202.8,183.5,185.2,175.3,208.2,218.8,254.3,277.6,276.3,296.3,268.4,267.4,292.3,353.9,344.8,357.9,376.6,435.1,484.9,487.7,470.8,441.1,429.3,421.4,397.5,372.6,369.5,356.3,361.7,361.7,342.9,338.1,328.8,317,306.9,314.1,298.7,283.2,,,,
Utah,25.7,20.4,24.7,27.7,51.4,56,65.2,68.2,68.5,74.2,70.3,75.8,99.7,119.8,113.4,129.2,125.8,147.3,178.7,193.8,191.7,182.1,172.1,163.3,163.1,186,179.6,152,162.6,174.9,186.3,183.1,186.2,194.7,195.8,215.1,218.1,215.8,183.9,181.3,159.5,138.4,144.8,155.3,140.4,142.2,140.7,148.5,138.4,133.4,130.4,,,,
Vermont,4.6,5.3,3.6,7.7,12.2,10.8,7.4,11.3,21.1,32.3,54.6,50.4,73.2,48.3,45.5,62.6,80,101.2,134.1,131.2,108.5,63.1,66.7,60.4,100,104.1,103.1,94.5,101.3,89.8,87.2,72.3,73.5,61.8,56,76.9,76.9,78.3,67,77.1,69.8,69,71.7,81.4,73.9,87.6,96.8,93.7,98.3,94.2,95.2,,,,
Virginia,137.1,141.1,142.4,144.8,186.6,167.5,166.2,152.5,187.2,161.6,179.1,188.2,199,194.5,193,206.9,167.9,165.7,157.8,153.7,151.1,152.7,154.6,150.4,158.9,160.1,166.7,155.8,151.8,171.3,187.6,196.4,196.8,189.8,187.6,194.9,184.5,186.5,187.2,182.8,164.3,166,165.6,156.9,153.8,154.9,152.7,144.3,133.8,125.7,119,,,,
