"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year"
"335",335,"0400000US32",32,"Nevada",6.2,8.7,28.2,26,7.8,15.2,7.9,85.1,23,23.1,13.8,10.5,6,"NV",2015
"336",336,"0400000US33",33,"New Hampshire",2.5,5.2,28.8,19,9.6,21.8,13,92.3,34.9,18,8.8,7.1,3,"NH",2015
"337",337,"0400000US34",34,"New Jersey",5.3,6.1,28.6,16.9,6.3,22.8,14,88.6,36.8,22.3,11.2,7.9,3.5,"NJ",2015
"338",338,"0400000US35",35,"New Mexico",7,8.8,26.4,23.6,7.8,14.8,11.5,84.2,26.3,34.2,18.9,14.9,6.3,"NM",2015
"339",339,"0400000US36",36,"New York",6.7,7.7,26.7,16.2,8.5,19.4,14.8,85.6,34.2,29.3,15.1,10.8,5.3,"NY",2015
"340",340,"0400000US37",37,"North Carolina",5.4,8.8,26.7,21.8,9,18.4,9.9,85.8,28.4,30.8,15.9,11.8,4.3,"NC",2015
"341",341,"0400000US38",38,"North Dakota",3.9,4.4,27.4,23.4,13.2,20.1,7.6,91.7,27.7,21.9,10.4,7.4,3.3,"ND",2015
"342",342,"0400000US39",39,"Ohio",3.1,7.8,34.1,20.7,8.2,16.4,9.7,89.1,26.1,29,13.4,11.3,4,"OH",2015
"343",343,"0400000US40",40,"Oklahoma",4.4,8.6,31.7,23.9,7.2,16.1,8,86.9,24.1,27.4,15.1,11.3,4.5,"OK",2015
"344",344,"0400000US41",41,"Oregon",4,6.2,24.3,26.3,8.4,19.3,11.5,89.8,30.8,27.2,15.9,12.8,6.2,"OR",2015
"345",345,"0400000US42",42,"Pennsylvania",3.5,7.3,36.4,16.3,7.9,17.4,11.2,89.2,28.6,25.2,12,9.3,4,"PA",2015
"346",346,"0400000US44",44,"Rhode Island",6,7.8,27.3,18.5,8.5,19.1,12.8,86.2,31.9,24.9,13.6,10.2,3.9,"RI",2015
"347",347,"0400000US45",45,"South Carolina",4.9,9.5,29.8,21,8.9,16.5,9.3,85.6,25.8,31.4,16.3,11.1,4.4,"SC",2015
"348",348,"0400000US46",46,"South Dakota",3.9,5.2,31.3,21.9,10.7,19,8,90.9,27,27.3,12.1,9.4,4.3,"SD",2015
"349",349,"0400000US47",47,"Tennessee",5.6,8.9,33,21,6.6,15.9,9,85.5,24.9,30.3,15.9,11.2,4.2,"TN",2015
"350",350,"0400000US48",48,"Texas",9.1,9,25.2,22.5,6.7,18.2,9.4,81.9,27.6,28.9,14.9,9.9,4.3,"TX",2015
"351",351,"0400000US49",49,"Utah",3,5.8,23.2,27.4,9.6,20.8,10.4,91.2,31.1,23.2,11.2,8.5,4.5,"UT",2015
"352",352,"0400000US50",50,"Vermont",2.9,5.3,30.1,17.4,8.4,21.7,14.3,91.8,36,23.8,10.9,9,4.2,"VT",2015
"353",353,"0400000US51",51,"Virginia",4.8,6.9,24.8,19.9,7.3,21,15.4,88.3,36.3,22.6,12,8.1,3.2,"VA",2015
"354",354,"0400000US53",53,"Washington",4,5.5,23.3,24.6,9.8,20.9,12,90.4,32.9,25.1,13.1,10.3,4.4,"WA",2015
"355",355,"0400000US54",54,"West Virginia",5.2,9.8,40.7,18.5,6.6,11.7,7.4,85,19.2,29.4,14.8,12.4,4.5,"WV",2015
"356",356,"0400000US55",55,"Wisconsin",3.1,5.8,32,21.1,10.1,18.4,9.4,91,27.8,24.3,11,8.9,3.6,"WI",2015
"357",357,"0400000US56",56,"Wyoming",2,5.7,29.4,26.9,10.3,17.1,8.6,92.3,25.7,19.9,10.2,7.5,4.2,"WY",2015
"358",358,"0400000US01",1,"Alabama",5,10.2,31,21.9,7.9,15.1,8.9,84.8,24,30.9,16.3,12.2,4.4,"AL",2016
"359",359,"0400000US02",2,"Alaska",2.7,4.9,27.7,27.5,8.3,18.4,10.4,92.3,28.8,19.5,12.1,6.1,2.7,"AK",2016
"360",360,"0400000US04",4,"Arizona",6.1,7.7,24.3,25.5,8.5,17.5,10.4,86.2,28,31,16.8,11.2,5.5,"AZ",2016
"361",361,"0400000US05",5,"Arkansas",5.4,9.4,34.7,22.6,6.4,13.9,7.6,85.2,21.5,28.9,16.4,12.6,4.4,"AR",2016
"362",362,"0400000US06",6,"California",9.9,8,20.6,21.7,7.8,20.1,11.9,82.1,32,25.3,15.5,10.9,5.3,"CA",2016
"363",363,"0400000US08",8,"Colorado",3.7,5.3,21.7,22.2,8.4,24.4,14.3,91,38.7,24.2,12,9.2,4.4,"CO",2016
"364",364,"0400000US09",9,"Connecticut",4.2,5.7,27.3,17.3,7.5,21.3,16.8,90.1,38,24.1,10.9,7.8,3.3,"CT",2016
