"","X","geo_id1","geo_id2","state","less_than_9th","X9th_to_12th","hs_grad","some_col","associates","bachelors","graduate","at_least_hs_grad","at_least_bachelors","poverty_less_than_hs_grad","poverty_hs_grad","poverty_some_college_assoc","poverty_at_least_bachelors","Abbreviation","year","x.rfbmi5","se"
"48",48,"0400000US53",53,"Washington",4,6.6,24.6,24.7,9.3,19.9,10.9,89.4,30.8,22.7,11.1,8.3,3.8,"WA",2009,0.624548041104668,0.00539803927094778
"49",49,"0400000US54",54,"West Virginia",6.9,11.5,41.4,17.3,5.7,10.4,6.7,81.6,17.1,27.9,13.6,10.4,4.1,"WV",2009,0.675382008999984,0.00882097709677483
"50",50,"0400000US55",55,"Wisconsin",3.8,7.2,34.3,20.5,8.8,17,8.4,89,25.5,20.5,8.9,6.6,3,"WI",2009,0.656630084245487,0.0124201955345399
"51",51,"0400000US56",56,"Wyoming",2.7,6.3,31.9,26.6,9.3,15.6,7.7,91.1,23.2,17.2,7.7,6.3,2.8,"WY",2009,0.621956626199995,0.00902612915611027
"52",52,"0400000US01",1,"Alabama",6.3,12.3,31.8,21,6.9,13.8,7.9,81.4,21.7,28.5,14.1,9.7,3.5,"AL",2010,NA,NA
"53",53,"0400000US02",2,"Alaska",3.5,5.8,27.4,28.3,8,17.4,9.6,90.7,27,16.8,10.3,5.8,2.6,"AK",2010,NA,NA
"54",54,"0400000US04",4,"Arizona",6.6,8.4,25.1,25.5,8,16.7,9.6,85,26.3,26.7,13.3,8.8,4.2,"AZ",2010,NA,NA
"55",55,"0400000US05",5,"Arkansas",6.9,11.2,35.3,21.6,5.8,12.8,6.4,81.9,19.1,27.3,14.2,10.9,3.6,"AR",2010,NA,NA
"56",56,"0400000US06",6,"California",10.4,8.9,21.5,21.5,7.7,19.2,10.8,80.7,30.1,22.2,12.5,8.2,4.3,"CA",2010,NA,NA
"57",57,"0400000US08",8,"Colorado",4.4,6.3,23.3,22.3,7.7,23,12.9,89.3,35.9,25.2,11.2,8.1,3.9,"CO",2010,NA,NA
"58",58,"0400000US09",9,"Connecticut",4.7,7,28.6,17.3,7.3,19.9,15.3,88.4,35.2,20.6,8.6,6.1,2.7,"CT",2010,NA,NA
"59",59,"0400000US10",10,"Delaware",4.2,8.7,32.2,19.8,7.4,16.6,11.1,87,27.7,19.9,9.4,6.1,3,"DE",2010,0.640002668121918,0.0116153765980687
"60",60,"0400000US11",11,"District of Columbia",5,8.5,19.9,14.2,3.1,22,27.2,86.5,49.2,31.9,22.2,14.6,5.1,"DC",2010,0.562718744489289,0.0107099703057374
"61",61,"0400000US12",12,"Florida",5.7,9,30.3,20.6,8.5,16.8,9.1,85.3,25.9,24.1,12.7,8.6,4.8,"FL",2010,0.650232226133843,0.00624414860736815
"62",62,"0400000US13",13,"Georgia",6.1,10.4,29.6,20.1,6.6,17.5,9.7,83.5,27.2,28.2,13.8,8.8,3.7,"GA",2010,0.657530811457789,0.00941310272286718
"63",63,"0400000US15",15,"Hawaii",4.9,5.4,29,21.6,9.8,19.7,9.8,89.8,29.4,16,9.2,7.3,4.4,"HI",2010,0.572142969238499,0.00930589601051833
"64",64,"0400000US16",16,"Idaho",4.4,7.5,28.8,26.6,8.5,16.7,7.6,88.2,24.3,22.1,11.7,8.9,4.4,"ID",2010,0.628826564059746,0.00917908116791125
"65",65,"0400000US17",17,"Illinois",6,7.8,27.9,20.8,7.3,18.9,11.4,86.2,30.3,22.4,11.1,8.1,3.7,"IL",2010,0.632245048142196,0.010182584011848
